"STATION","NAME","DATE","PRCP","SNOW"
"USC00300321","AUBURN, NY US","1940-04-06","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-07","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-04-08","0.65","0.0"
"USC00300321","AUBURN, NY US","1940-04-09","0.08","0.0"
"USC00300321","AUBURN, NY US","1940-04-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-11","0.27","0.0"
"USC00300321","AUBURN, NY US","1940-04-12","0.20","0.4"
"USC00300321","AUBURN, NY US","1940-04-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-14","0.00","0.3"
"USC00300321","AUBURN, NY US","1940-04-15","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-16","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-17","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-04-18","0.39","0.0"
"USC00300321","AUBURN, NY US","1940-04-19","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-20","0.56","0.0"
"USC00300321","AUBURN, NY US","1940-04-21","0.45","0.0"
"USC00300321","AUBURN, NY US","1940-04-22","0.10","2.0"
"USC00300321","AUBURN, NY US","1940-04-23","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-24","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-04-25","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-04-26","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-27","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-28","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-29","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-04-30","0.29","0.0"
"USC00300321","AUBURN, NY US","1940-05-01","0.08","0.0"
"USC00300321","AUBURN, NY US","1940-05-02","0.23","0.0"
"USC00300321","AUBURN, NY US","1940-05-03","0.25","0.0"
"USC00300321","AUBURN, NY US","1940-05-04","0.17","0.0"
"USC00300321","AUBURN, NY US","1940-05-05","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-06","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-07","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-08","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-05-09","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-11","0.04","0.0"
"USC00300321","AUBURN, NY US","1940-05-12","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-14","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-05-15","0.32","0.0"
"USC00300321","AUBURN, NY US","1940-05-16","0.22","0.0"
"USC00300321","AUBURN, NY US","1940-05-17","0.07","0.0"
"USC00300321","AUBURN, NY US","1940-05-18","0.03","0.0"
"USC00300321","AUBURN, NY US","1940-05-19","0.54","0.0"
"USC00300321","AUBURN, NY US","1940-05-20","0.36","0.0"
"USC00300321","AUBURN, NY US","1940-05-21","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-22","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-23","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-24","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-25","0.27","0.0"
"USC00300321","AUBURN, NY US","1940-05-26","0.17","0.0"
"USC00300321","AUBURN, NY US","1940-05-27","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-28","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-05-29","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-30","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-05-31","0.25","0.0"
"USC00300321","AUBURN, NY US","1940-06-01","0.77","0.0"
"USC00300321","AUBURN, NY US","1940-06-02","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-03","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-04","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-05","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-06","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-07","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-08","0.60","0.0"
"USC00300321","AUBURN, NY US","1940-06-09","0.38","0.0"
"USC00300321","AUBURN, NY US","1940-06-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-11","0.19","0.0"
"USC00300321","AUBURN, NY US","1940-06-12","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-13","0.09","0.0"
"USC00300321","AUBURN, NY US","1940-06-14","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-15","0.09","0.0"
"USC00300321","AUBURN, NY US","1940-06-16","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-17","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-18","0.05","0.0"
"USC00300321","AUBURN, NY US","1940-06-19","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-06-20","0.03","0.0"
"USC00300321","AUBURN, NY US","1940-06-21","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-22","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-23","0.03","0.0"
"USC00300321","AUBURN, NY US","1940-06-24","0.72","0.0"
"USC00300321","AUBURN, NY US","1940-06-25","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-26","0.13","0.0"
"USC00300321","AUBURN, NY US","1940-06-27","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-06-28","0.22","0.0"
"USC00300321","AUBURN, NY US","1940-06-29","0.11","0.0"
"USC00300321","AUBURN, NY US","1940-06-30","0.40","0.0"
"USC00300321","AUBURN, NY US","1940-07-01","0.06","0.0"
"USC00300321","AUBURN, NY US","1940-07-02","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-03","0.22","0.0"
"USC00300321","AUBURN, NY US","1940-07-04","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-05","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-07-06","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-07","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-08","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-09","1.20","0.0"
"USC00300321","AUBURN, NY US","1940-07-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-11","0.45","0.0"
"USC00300321","AUBURN, NY US","1940-07-12","0.05","0.0"
"USC00300321","AUBURN, NY US","1940-07-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-14","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-15","0.08","0.0"
"USC00300321","AUBURN, NY US","1940-07-16","0.07","0.0"
"USC00300321","AUBURN, NY US","1940-07-17","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-18","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-19","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-20","0.14","0.0"
"USC00300321","AUBURN, NY US","1940-07-21","0.13","0.0"
"USC00300321","AUBURN, NY US","1940-07-22","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-23","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-24","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-07-25","0.14","0.0"
"USC00300321","AUBURN, NY US","1940-07-26","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-27","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-28","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-07-29","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-30","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-07-31","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-01","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-02","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-03","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-04","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-05","0.31","0.0"
"USC00300321","AUBURN, NY US","1940-08-06","0.04","0.0"
"USC00300321","AUBURN, NY US","1940-08-07","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-08","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-09","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-11","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-12","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-14","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-15","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-16","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-17","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-18","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-19","0.23","0.0"
"USC00300321","AUBURN, NY US","1940-08-20","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-21","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-22","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-08-23","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-24","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-25","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-26","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-27","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-28","0.40","0.0"
"USC00300321","AUBURN, NY US","1940-08-29","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-08-30","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-08-31","0.15","0.0"
"USC00300321","AUBURN, NY US","1940-09-01","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-02","0.22","0.0"
"USC00300321","AUBURN, NY US","1940-09-03","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-04","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-05","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-06","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-07","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-08","0.12","0.0"
"USC00300321","AUBURN, NY US","1940-09-09","0.09","0.0"
"USC00300321","AUBURN, NY US","1940-09-10","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-09-11","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-09-12","0.08","0.0"
"USC00300321","AUBURN, NY US","1940-09-13","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-09-14","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-15","0.20","0.0"
"USC00300321","AUBURN, NY US","1940-09-16","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-09-17","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-18","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-19","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-20","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-09-21","0.06","0.0"
"USC00300321","AUBURN, NY US","1940-09-22","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-23","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-24","0.90","0.0"
"USC00300321","AUBURN, NY US","1940-09-25","0.33","0.0"
"USC00300321","AUBURN, NY US","1940-09-26","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-27","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-28","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-29","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-09-30","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-01","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-02","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-03","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-04","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-05","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-06","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-07","0.28","0.0"
"USC00300321","AUBURN, NY US","1940-10-08","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-09","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-11","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-12","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-14","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-15","0.54","0.0"
"USC00300321","AUBURN, NY US","1940-10-16","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-17","0.05","0.0"
"USC00300321","AUBURN, NY US","1940-10-18","0.16","0.0"
"USC00300321","AUBURN, NY US","1940-10-19","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-20","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-10-21","0.10","0.0"
"USC00300321","AUBURN, NY US","1940-10-22","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-23","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-10-24","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-25","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-10-26","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-27","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-28","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-10-29","0.15","0.0"
"USC00300321","AUBURN, NY US","1940-10-30","0.05","0.0"
"USC00300321","AUBURN, NY US","1940-10-31","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-11-01","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-02","0.24","0.0"
"USC00300321","AUBURN, NY US","1940-11-03","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-04","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-05","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-06","0.27","0.0"
"USC00300321","AUBURN, NY US","1940-11-07","0.04","1.2"
"USC00300321","AUBURN, NY US","1940-11-08","0.05","1.5"
"USC00300321","AUBURN, NY US","1940-11-09","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-11","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-12","0.30","0.0"
"USC00300321","AUBURN, NY US","1940-11-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-14","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-15","0.43","2.3"
"USC00300321","AUBURN, NY US","1940-11-16","0.10","1.8"
"USC00300321","AUBURN, NY US","1940-11-17","0.12","2.0"
"USC00300321","AUBURN, NY US","1940-11-18","0.19","0.0"
"USC00300321","AUBURN, NY US","1940-11-19","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-20","0.04","0.0"
"USC00300321","AUBURN, NY US","1940-11-21","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-22","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-11-23","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-24","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-25","0.02","0.6"
"USC00300321","AUBURN, NY US","1940-11-26","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-11-27","0.25","4.0"
"USC00300321","AUBURN, NY US","1940-11-28","0.08","2.5"
"USC00300321","AUBURN, NY US","1940-11-29","0.05","1.0"
"USC00300321","AUBURN, NY US","1940-11-30","0.03","1.0"
"USC00300321","AUBURN, NY US","1940-12-01","0.46","3.0"
"USC00300321","AUBURN, NY US","1940-12-02","0.05","1.5"
"USC00300321","AUBURN, NY US","1940-12-03","0.02","0.6"
"USC00300321","AUBURN, NY US","1940-12-04","0.01","0.5"
"USC00300321","AUBURN, NY US","1940-12-05","0.09","1.8"
"USC00300321","AUBURN, NY US","1940-12-06","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-07","0.14","0.0"
"USC00300321","AUBURN, NY US","1940-12-08","0.03","0.3"
"USC00300321","AUBURN, NY US","1940-12-09","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-11","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-12","0.32","1.5"
"USC00300321","AUBURN, NY US","1940-12-13","0.51","0.2"
"USC00300321","AUBURN, NY US","1940-12-14","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-15","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-16","0.34","0.0"
"USC00300321","AUBURN, NY US","1940-12-17","0.07","1.0"
"USC00300321","AUBURN, NY US","1940-12-18","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-19","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-20","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-21","0.02","0.0"
"USC00300321","AUBURN, NY US","1940-12-22","0.01","0.0"
"USC00300321","AUBURN, NY US","1940-12-23","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-24","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-25","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-12-26","0.16","0.0"
"USC00300321","AUBURN, NY US","1940-12-27","0.10","0.0"
"USC00300321","AUBURN, NY US","1940-12-28","0.97","0.0"
"USC00300321","AUBURN, NY US","1940-12-29","0.21","0.0"
"USC00300321","AUBURN, NY US","1940-12-30","0.21","0.0"
"USC00300321","AUBURN, NY US","1940-12-31","0.04","0.5"
"USC00300321","AUBURN, NY US","1941-01-01","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-02","0.01","0.3"
"USC00300321","AUBURN, NY US","1941-01-03","0.23","1.0"
"USC00300321","AUBURN, NY US","1941-01-04","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-05","0.09","3.0"
"USC00300321","AUBURN, NY US","1941-01-06","0.01","0.7"
"USC00300321","AUBURN, NY US","1941-01-07","0.04","1.3"
"USC00300321","AUBURN, NY US","1941-01-08","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-09","0.12","2.5"
"USC00300321","AUBURN, NY US","1941-01-10","0.02","0.5"
"USC00300321","AUBURN, NY US","1941-01-11","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-12","0.01","0.3"
"USC00300321","AUBURN, NY US","1941-01-13","0.01","0.4"
"USC00300321","AUBURN, NY US","1941-01-14","0.01","0.4"
"USC00300321","AUBURN, NY US","1941-01-15","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-16","0.03","0.3"
"USC00300321","AUBURN, NY US","1941-01-17","0.41","0.0"
"USC00300321","AUBURN, NY US","1941-01-18","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-19","0.09","3.0"
"USC00300321","AUBURN, NY US","1941-01-20","0.12","4.0"
"USC00300321","AUBURN, NY US","1941-01-21","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-22","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-23","0.08","0.2"
"USC00300321","AUBURN, NY US","1941-01-24","0.22","3.2"
"USC00300321","AUBURN, NY US","1941-01-25","0.25","3.4"
"USC00300321","AUBURN, NY US","1941-01-26","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-01-27","0.21","3.0"
"USC00300321","AUBURN, NY US","1941-01-28","0.12","1.9"
"USC00300321","AUBURN, NY US","1941-01-30","0.08","2.3"
"USC00300321","AUBURN, NY US","1941-01-31","0.09","2.5"
"USC00300321","AUBURN, NY US","1941-02-01","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-02","0.07","1.3"
"USC00300321","AUBURN, NY US","1941-02-03","0.03","0.5"
"USC00300321","AUBURN, NY US","1941-02-04","0.08","1.5"
"USC00300321","AUBURN, NY US","1941-02-05","0.01","0.3"
"USC00300321","AUBURN, NY US","1941-02-06","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-07","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-08","0.48","4.5"
"USC00300321","AUBURN, NY US","1941-02-09","0.01","0.5"
"USC00300321","AUBURN, NY US","1941-02-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-11","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-12","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-14","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-15","0.21","0.4"
"USC00300321","AUBURN, NY US","1941-02-16","0.01","0.3"
"USC00300321","AUBURN, NY US","1941-02-17","0.01","0.3"
"USC00300321","AUBURN, NY US","1941-02-18","0.11","3.0"
"USC00300321","AUBURN, NY US","1941-02-19","0.01","0.3"
"USC00300321","AUBURN, NY US","1941-02-20","0.03","1.0"
"USC00300321","AUBURN, NY US","1941-02-21","0.04","1.0"
"USC00300321","AUBURN, NY US","1941-02-22","0.18","1.2"
"USC00300321","AUBURN, NY US","1941-02-23","0.02","0.6"
"USC00300321","AUBURN, NY US","1941-02-24","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-25","0.00","0.0"
"USC00300321","AUBURN, NY US","1941-02-26","0.03","0.6"
